amendment	plant_code	plant_species	tissue	dryweight
_Control	P	Fagopyrum esculentum	root	0.0102
_Control	P	Fagopyrum esculentum	root	0.0074
_Control	P	Fagopyrum esculentum	root	0.0077
_Control	P	Fagopyrum esculentum	root	0.0063
_Control	P	Fagopyrum esculentum	root	0.0096
_Control	P	Fagopyrum esculentum	root	0.006
_Control	P	Fagopyrum esculentum	root	0.0101
_Control	P	Fagopyrum esculentum	root	0.0116
_Control	P	Fagopyrum esculentum	root	0.0158
_Control	P	Fagopyrum esculentum	root	0.0192
_Control	P	Fagopyrum esculentum	root	0.0108
_Control	P	Fagopyrum esculentum	root	0.0115
_Control	P	Fagopyrum esculentum	root	0.0062
_Control	P	Fagopyrum esculentum	root	0.0034
_Control	P	Fagopyrum esculentum	root	0.011
_Control	P	Fagopyrum esculentum	root	0.0121
_Control	P	Fagopyrum esculentum	root	0.0056
_Control	P	Fagopyrum esculentum	root	0.0037
_Control	Q	Borago officinalis	root	0.0026
_Control	Q	Borago officinalis	root	0.0049
_Control	Q	Borago officinalis	root	0.0039
_Control	Q	Borago officinalis	root	0.0085
_Control	Q	Borago officinalis	root	0.0084
_Control	Q	Borago officinalis	root	0.0022
_Control	Q	Borago officinalis	root	0.0027
_Control	Q	Borago officinalis	root	0.0048
_Control	Q	Borago officinalis	root	0.0042
_Control	Q	Borago officinalis	root	0.0083
_Control	Q	Borago officinalis	root	0.0062
_Control	Q	Borago officinalis	root	0.0061
_Control	Q	Borago officinalis	root	0.0057
_Control	Q	Borago officinalis	root	0.0071
_Control	Q	Borago officinalis	root	0.0034
_Control	Q	Borago officinalis	root	0.0084
_Control	Q	Borago officinalis	root	0.0056
_Control	R	Lactuca sativa	root	0.0058
_Control	R	Lactuca sativa	root	0.0012
_Control	R	Lactuca sativa	root	0.001
_Control	R	Lactuca sativa	root	0.0009
_Control	R	Lactuca sativa	root	0.0036
_Control	R	Lactuca sativa	root	0.0019
_Control	R	Lactuca sativa	root	0.0041
_Control	R	Lactuca sativa	root	0.0023
_Control	R	Lactuca sativa	root	0.0015
_Control	R	Lactuca sativa	root	0.0022
_Control	R	Lactuca sativa	root	0.0013
_Control	R	Lactuca sativa	root	0.0032
_Control	R	Lactuca sativa	root	0.0028
_Control	R	Lactuca sativa	root	0.0024
_Control	R	Lactuca sativa	root	0.0013
_Control	R	Lactuca sativa	root	0.0017
_Control	R	Lactuca sativa	root	0.001
_Control	R	Lactuca sativa	root	0.0011
_Control	R	Lactuca sativa	root	0.0025
_Control	R	Lactuca sativa	root	0.003
_Control	R	Lactuca sativa	root	0.0016
_Control	R	Lactuca sativa	root	0.0037
_Control	R	Lactuca sativa	root	0.0029
_Control	R	Lactuca sativa	root	0.0066
_Control	R	Lactuca sativa	root	0.0034
_Control	S	Phacelia tanacetifolia	root	0.0011
_Control	S	Phacelia tanacetifolia	root	0.0032
_Control	S	Phacelia tanacetifolia	root	0.0039
_Control	S	Phacelia tanacetifolia	root	0.0035
_Control	S	Phacelia tanacetifolia	root	0.0009
_Control	S	Phacelia tanacetifolia	root	0.003
_Control	S	Phacelia tanacetifolia	root	0.002
_Control	S	Phacelia tanacetifolia	root	0.0047
_Control	S	Phacelia tanacetifolia	root	0.0014
_Control	S	Phacelia tanacetifolia	root	0.0018
_Control	S	Phacelia tanacetifolia	root	0.0032
_Control	S	Phacelia tanacetifolia	root	0.0035
_Control	S	Phacelia tanacetifolia	root	0.0035
_Control	S	Phacelia tanacetifolia	root	0.0018
_Control	S	Phacelia tanacetifolia	root	0.004
_Control	S	Phacelia tanacetifolia	root	0.0045
_Control	S	Phacelia tanacetifolia	root	0.0054
